Platform,Job Nr,Date,Time,Theme,Post Copy,Link,Format,Final Creative,Deadlines,MSS Notes,Creative,Designer
,,,,,,,,,,,,
APRIL,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",20884,"Sun, 5 April",10:00,Easter,"Thank you for trusting us to keep your business moving forward.

— The UD Trucks Boksburg Team",https://boksburg.udsa.co.za/,Vid,Happy Easter from UD Trucks Boksburg!,"Fri, 27 March",,,Emma
"Facebook
Instagram
LinkedIn",20884,"Tue, 7 April",10:00,TPOL,"The UD Trucks Quon is engineered to do more than move cargo — it moves your business toward greater profitability.

Increase your total profit today with UD Trucks Boksburg.
👉https://boksburg.udsa.co.za/trucks/quon/

#UDTrucks #Boksburg #Quon #HeavyDutyTrucks #Trucks",https://boksburg.udsa.co.za/,Static,"Save more on every journey

Quon image
Icons + Text
- Powerful engine
- Aerodynamic design
- Smart fuel technology

Increase your total profit over lifetime today.","Mon, 30 March",,,Emma
"Facebook
Instagram
LinkedIn",20884,"Tue, 14 April",10:00,Website,"Looking for reliable trucks and tailored solutions for your business? Visit UD Trucks Boksburg online to explore our range, special offers, and expert services. Your next journey starts here!

https://boksburg.udsa.co.za/

#UD #Trucks #Boksburg",https://boksburg.udsa.co.za/,Static,"Discover the Power of UD Trucks
https://boksburg.udsa.co.za/","Tue, 7 April",,,Emma
"Facebook
Instagram
LinkedIn",20884,"Tue, 21 April",10:00,TPOL,"Designed for performance, durability, and long-haul reliability, the UD Trucks Quon keeps your fleet moving and your profits growing. With exceptional fuel economy, reduced downtime, and smart engineering that supports your bottom line, every load becomes an opportunity to earn more.

Contact UD Trucks Boksburg today and put more power behind your business.
👉https://boksburg.udsa.co.za/trucks/quon/

#UDTrucks #Boksburg #Quon #HeavyDutyTrucks #Trucks",https://boksburg.udsa.co.za/,Static,"More Trips | More Earnings | More Savings

Drive Profit.
Drive UD Quon","Thu, 9 April",,,Emma
"Facebook
Instagram
LinkedIn",20884,"Mon, 27 April",10:00,Freedom Day,"Today we celebrate the hard-won freedom that shapes our nation and honors the courage of those who fought for it. Let’s continue driving progress, embracing unity, and moving South Africa forward—together.

— The UD Trucks Boksburg Team",https://boksburg.udsa.co.za/,Static,"Happy Freedom Day!
Celebrating the courage, unity, and progress that keep South Africa moving forward.
— UD Trucks Boksburg","Mon, 13 April",,,Emma
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
